,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2019-M020,Brisbane,Hard,32,A,20181231,300,105453,2,,Kei Nishikori,R,178.0,JPN,29.004791238899998,106421,4,,Daniil Medvedev,R,,RUS,22.8856947296,6-4 3-6 6-2,3,F,124.0,3.0,3.0,77.0,44.0,31.0,17.0,13.0,3.0,6.0,8.0,6.0,100.0,54.0,34.0,20.0,14.0,10.0,15.0,9.0,3590.0,16.0,1977.0
1,2019-M020,Brisbane,Hard,32,A,20181231,299,106421,4,,Daniil Medvedev,R,,RUS,22.8856947296,104542,,PR,Jo Wilfried Tsonga,R,188.0,FRA,33.7056810404,7-6(6) 6-2,3,SF,82.0,10.0,1.0,52.0,33.0,28.0,14.0,10.0,0.0,1.0,17.0,2.0,77.0,52.0,36.0,7.0,10.0,10.0,13.0,16.0,1977.0,239.0,200.0
2,2019-M020,Brisbane,Hard,32,A,20181231,298,105453,2,,Kei Nishikori,R,178.0,JPN,29.004791238899998,104871,,,Jeremy Chardy,R,188.0,FRA,31.8822724162,6-2 6-2,3,SF,66.0,2.0,2.0,47.0,33.0,26.0,9.0,8.0,2.0,2.0,10.0,3.0,46.0,27.0,15.0,6.0,8.0,1.0,5.0,9.0,3590.0,40.0,1050.0
3,2019-M020,Brisbane,Hard,32,A,20181231,297,104542,,PR,Jo Wilfried Tsonga,R,188.0,FRA,33.7056810404,200282,7,,Alex De Minaur,R,,AUS,19.8685831622,6-4 7-6(2),3,QF,106.0,12.0,2.0,68.0,43.0,34.0,15.0,11.0,4.0,5.0,1.0,2.0,81.0,60.0,38.0,9.0,11.0,4.0,6.0,239.0,200.0,31.0,1298.0
4,2019-M020,Brisbane,Hard,32,A,20181231,296,106421,4,,Daniil Medvedev,R,,RUS,22.8856947296,105683,5,,Milos Raonic,R,196.0,CAN,28.010951403099998,6-7(2) 6-3 6-4,3,QF,129.0,12.0,3.0,105.0,68.0,48.0,25.0,16.0,8.0,8.0,29.0,5.0,94.0,56.0,46.0,19.0,15.0,2.0,4.0,16.0,1977.0,18.0,1855.0
5,2019-M020,Brisbane,Hard,32,A,20181231,295,104871,,,Jeremy Chardy,R,188.0,FRA,31.8822724162,106034,,Q,Yasutaka Uchiyama,R,,JPN,26.4038329911,6-4 3-6 7-6(4),3,QF,127.0,10.0,8.0,94.0,58.0,44.0,18.0,16.0,4.0,8.0,12.0,6.0,90.0,54.0,40.0,18.0,15.0,6.0,9.0,40.0,1050.0,185.0,275.0
6,2019-M020,Brisbane,Hard,32,A,20181231,294,105453,2,,Kei Nishikori,R,178.0,JPN,29.004791238899998,105777,6,,Grigor Dimitrov,R,188.0,BUL,27.627652293,7-5 7-5,3,QF,100.0,5.0,2.0,59.0,47.0,37.0,9.0,12.0,0.0,1.0,8.0,5.0,80.0,53.0,37.0,13.0,12.0,6.0,9.0,9.0,3590.0,19.0,1835.0
7,2019-M020,Brisbane,Hard,32,A,20181231,293,104542,,PR,Jo Wilfried Tsonga,R,188.0,FRA,33.7056810404,106121,,LL,Taro Daniel,R,,JPN,25.9247091034,7-6(5) 6-3,3,R16,100.0,11.0,3.0,64.0,37.0,30.0,11.0,10.0,4.0,7.0,3.0,7.0,85.0,51.0,34.0,11.0,11.0,6.0,11.0,239.0,200.0,77.0,691.0
8,2019-M020,Brisbane,Hard,32,A,20181231,292,200282,7,,Alex De Minaur,R,,AUS,19.8685831622,111442,,,Jordan Thompson,R,,AUS,24.6981519507,6-4 6-2,3,R16,80.0,1.0,1.0,49.0,38.0,29.0,8.0,9.0,0.0,0.0,5.0,0.0,56.0,39.0,30.0,3.0,9.0,3.0,6.0,31.0,1298.0,72.0,715.0
9,2019-M020,Brisbane,Hard,32,A,20181231,291,106421,4,,Daniil Medvedev,R,,RUS,22.8856947296,104918,,PR,Andy Murray,R,190.0,GBR,31.630390143699998,7-5 6-2,3,R16,81.0,16.0,2.0,54.0,34.0,27.0,13.0,10.0,0.0,1.0,6.0,1.0,60.0,39.0,27.0,7.0,10.0,2.0,6.0,16.0,1977.0,240.0,200.0
